Artist,Video Name,URL,Song Name,Release Year,Album,Live or Studio,Track Number
Opeth,Opeth - In Mist She Was Standing (Live - Incomplete) - P. I,https://www.youtube.com/watch?v=90jvP83SdK0,In Mist She Was Standing,1995,Orchid,Live,1
Opeth,Opeth - Under The Weeping Moon,https://www.youtube.com/watch?v=aL5MdzL_B3c,Under the Weeping Moon,1995,Orchid,Live,2
Opeth,Opeth - Forest of October. Live at The Royal Albert Hall,https://www.youtube.com/watch?v=8EhaoB6-fDY,Forest of October,1995,Orchid,Live,4
Opeth,Opeth - The Twilight is my Robe (live 1996),https://www.youtube.com/watch?v=ka_HkyrTH3c,The Twilight Is My Robe,1995,Orchid,Live,5
Opeth,Opeth Live 1996-The Apostle In Triumph,https://www.youtube.com/watch?v=T5jnGyNridU,The Apostle in Triumph,1995,Orchid,Live,7
Opeth,Opeth - In Mist She Was Standing,https://www.youtube.com/watch?v=4IaGMWFsKzU,In Mist She Was Standing,1995,Orchid,Studio,1
Opeth,Opeth - Under the Weeping Moon,https://www.youtube.com/watch?v=ClWjs4osaN8,Under the Weeping Moon,1995,Orchid,Studio,2
Opeth,Opeth - Silhouette,https://www.youtube.com/watch?v=fTvH0uTVdtA,Silhouette,1995,Orchid,Studio,3
Opeth,Opeth - Forest of October,https://www.youtube.com/watch?v=FsqDBSEfJm4,Forest of October,1995,Orchid,Studio,4
Opeth,Opeth - The Twilight is My Robe With Lyrics(Subtitle),https://www.youtube.com/watch?v=122EduOkJFo,The Twilight Is My Robe,1995,Orchid,Studio,5
Opeth,Opeth - Requiem (How It Was Meant To Be),https://www.youtube.com/watch?v=5uE2jTf8OiA,Requiem,1995,Orchid,Studio,6
Opeth,Opeth - The Apostle in Triumph,https://www.youtube.com/watch?v=jcszcmmSPWQ,The Apostle in Triumph,1995,Orchid,Studio,7
Opeth,In The Frost OF Winter - Opeth - Orchid,https://www.youtube.com/watch?v=VvWC9QX35C0,Into the Frost of Winter,1995,Orchid,Studio,8
Opeth,Opeth - Advent (Live at the Royal Albert Hall),https://www.youtube.com/watch?v=UmjKaDNlypA,Advent,1996,Morningrise,Live,1
Opeth,Opeth - The Night and The Silent Water,https://www.youtube.com/watch?v=XodSBpCMR34,The Night and the Silent Water,1996,Morningrise,Live,2
Opeth,"Opeth - Nectar. Live in Milan, December 5th 1996.",https://www.youtube.com/watch?v=RUaUGPLKAXQ,Nectar,1996,Morningrise,Live,3
Opeth,Opeth - Black Rose Immortal riff (live),https://www.youtube.com/watch?v=wFi0r1Klwvg,Black Rose Immortal,1996,Morningrise,Live,4
Opeth,"Opeth - To Bid You Farewell - Live In Melbourne, Australia 27.03.2004",https://www.youtube.com/watch?v=UCKtleUeEwY,To Bid You Farewell,1996,Morningrise,Live,5
Opeth,Opeth - Advent,https://www.youtube.com/watch?v=Nb2uXRYVRoc,Advent,1996,Morningrise,Studio,1
Opeth,Opeth - The Night and the Silent Water,https://www.youtube.com/watch?v=YJAs60bcnrA,The Night and the Silent Water,1996,Morningrise,Studio,2
